,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,151,15,1,0,151,30,3,0
6,6,148,15,2,0,148,30,6,0
7,7,142,16,2,1,142,32,6,4
8,8,132,20,2,1,132,40,6,6
9,9,131,20,2,1,131,41,6,6
10,10,127,20,3,1,127,41,10,6
11,11,123,20,4,1,123,42,13,6
12,12,113,21,6,1,113,44,21,6
13,13,108,22,7,1,108,46,24,6
14,14,103,24,6,1,103,56,20,5
15,15,98,25,5,2,98,58,19,9
