,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,4,1,0,173,8,3,0
4,4,161,10,1,0,161,20,3,0
5,5,153,11,3,0,153,22,9,0
6,6,150,12,3,0,150,24,9,0
7,7,142,16,3,0,142,32,9,0
8,8,133,17,5,0,133,35,15,0
9,9,131,18,5,0,131,37,15,0
10,10,127,18,6,0,127,38,18,0
11,11,123,18,6,1,123,38,18,4
12,12,113,19,8,1,113,39,24,7
13,13,107,22,8,1,107,45,24,7
14,14,101,23,9,1,101,48,27,7
15,15,96,23,10,1,96,49,31,7
