,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,150,15,1,0,150,31,3,0
5,5,138,19,2,0,138,40,6,0
6,6,132,22,2,0,132,46,6,0
7,7,123,25,3,0,123,52,9,0
8,8,117,24,3,1,117,52,10,5
9,9,117,24,3,1,117,52,10,5
10,10,114,24,4,1,114,52,13,5
11,11,107,23,7,1,107,50,22,5
12,12,93,28,5,3,93,61,16,14
13,13,90,27,6,3,90,60,20,14
14,14,87,28,6,3,87,63,20,14
15,15,79,27,7,4,79,61,23,21
