,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,7,1,0,167,14,3,0
4,4,151,13,2,0,151,27,6,0
5,5,141,14,4,0,141,31,12,0
6,6,136,15,5,0,136,33,15,0
7,7,129,17,4,1,129,37,12,6
8,8,119,20,5,1,119,42,17,6
9,9,119,20,5,1,119,42,17,6
10,10,116,20,6,1,116,42,20,6
11,11,110,20,5,3,110,42,15,17
12,12,95,26,5,3,95,56,15,18
13,13,93,24,6,3,93,52,18,21
14,14,90,24,7,3,90,52,21,21
15,15,80,26,8,3,80,58,24,22
