,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,4,1,0,173,8,3,0
4,4,161,10,1,0,161,20,3,0
5,5,151,15,1,0,151,30,3,0
6,6,147,17,1,0,147,34,3,0
7,7,140,19,2,0,140,38,6,0
8,8,131,20,4,0,131,41,12,0
9,9,129,21,4,0,129,43,12,0
10,10,126,21,4,0,126,44,14,0
11,11,122,22,4,0,122,48,14,0
12,12,113,21,6,1,113,46,21,4
13,13,108,23,6,1,108,51,21,4
14,14,102,23,8,1,102,48,30,4
15,15,97,22,9,2,97,46,31,10
