,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,177,3,0,0,177,7,0,0
3,3,167,8,0,0,167,17,0,0
4,4,151,13,2,0,151,27,6,0
5,5,138,19,2,0,138,40,6,0
6,6,134,20,1,1,134,42,3,5
7,7,128,19,3,1,128,40,11,5
8,8,122,17,5,1,122,38,17,7
9,9,122,17,5,1,122,38,17,7
10,10,118,19,5,1,118,42,17,7
11,11,112,19,5,2,112,41,20,11
12,12,101,21,4,3,101,49,16,18
13,13,96,23,4,3,96,53,16,19
14,14,92,25,4,3,92,57,16,19
15,15,83,26,4,4,83,61,17,23
