,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,149,16,1,0,149,32,3,0
5,5,138,19,1,1,138,39,3,4
6,6,132,22,1,1,132,45,3,4
7,7,124,24,2,1,124,49,7,4
8,8,115,27,1,2,115,55,4,10
9,9,115,27,1,2,115,55,4,10
10,10,113,26,2,2,113,54,7,10
11,11,107,27,2,2,107,61,6,10
12,12,93,29,5,2,93,66,15,10
13,13,89,29,6,2,89,67,18,10
14,14,87,28,7,2,87,65,22,10
15,15,80,25,10,2,80,58,35,11
