,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,177,2,1,0,177,4,3,0
3,3,167,7,1,0,167,14,3,0
4,4,149,16,1,0,149,32,3,0
5,5,139,17,3,0,139,34,11,0
6,6,135,17,4,0,135,35,14,0
7,7,125,22,4,0,125,45,14,0
8,8,117,22,6,0,117,47,20,0
9,9,117,22,6,0,117,47,20,0
10,10,116,20,6,1,116,43,20,5
11,11,109,21,5,3,109,45,15,15
12,12,99,20,5,5,99,43,16,26
13,13,95,19,7,5,95,41,22,26
14,14,93,19,7,5,93,41,22,28
15,15,86,17,8,6,86,37,25,36
