,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,150,16,0,0,150,34,0,0
5,5,140,17,2,0,140,37,7,0
6,6,135,18,3,0,135,38,11,0
7,7,128,18,5,0,128,38,18,0
8,8,119,20,6,0,119,42,23,0
9,9,119,20,6,0,119,42,23,0
10,10,117,20,5,1,117,42,19,6
11,11,112,17,8,1,112,35,31,6
12,12,102,18,6,3,102,39,23,20
13,13,96,21,6,3,96,45,23,20
14,14,94,22,5,3,94,52,18,20
15,15,87,20,6,4,87,46,24,27
