,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,148,18,0,0,148,36,0,0
5,5,136,21,2,0,136,42,6,0
6,6,131,22,3,0,131,44,9,0
7,7,124,21,6,0,124,42,18,0
8,8,117,21,6,1,117,44,18,5
9,9,117,21,6,1,117,44,18,5
10,10,114,22,6,1,114,47,18,5
11,11,105,26,6,1,105,56,18,5
12,12,94,25,9,1,94,57,27,6
13,13,91,24,10,1,91,56,30,7
14,14,88,24,11,1,88,56,33,7
15,15,79,25,12,1,79,60,37,8
