,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,151,14,1,0,151,30,3,0
5,5,138,19,2,0,138,40,6,0
6,6,134,18,4,0,134,36,14,0
7,7,127,19,4,1,127,39,14,4
8,8,119,20,5,1,119,42,18,5
9,9,119,20,5,1,119,42,18,5
10,10,116,20,6,1,116,42,21,5
11,11,110,18,9,1,110,38,31,5
12,12,99,19,10,1,99,43,37,5
13,13,95,21,9,1,95,51,33,5
14,14,92,21,10,1,92,50,37,5
15,15,85,21,7,4,85,48,28,23
