,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,5,0,0,173,11,0,0
4,4,161,11,0,0,161,23,0,0
5,5,152,14,1,0,152,29,3,0
6,6,148,16,1,0,148,33,3,0
7,7,141,19,1,0,141,40,3,0
8,8,133,17,5,0,133,36,15,0
9,9,131,18,5,0,131,38,15,0
10,10,126,19,6,0,126,40,18,0
11,11,121,20,7,0,121,42,21,0
12,12,111,20,9,1,111,42,27,4
13,13,107,20,9,2,107,42,27,8
14,14,103,19,9,3,103,40,29,12
15,15,98,19,10,3,98,41,33,12
