,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,179,2,0,0,179,5,0,0
3,3,173,5,0,0,173,11,0,0
4,4,161,11,0,0,161,23,0,0
5,5,153,13,1,0,153,28,3,0
6,6,150,13,2,0,150,28,6,0
7,7,142,17,2,0,142,36,6,0
8,8,133,18,4,0,133,38,13,0
9,9,131,19,4,0,131,40,13,0
10,10,126,20,5,0,126,42,16,0
11,11,120,23,5,0,120,48,16,0
12,12,112,22,6,1,112,47,20,4
13,13,106,25,6,1,106,53,20,4
14,14,101,27,5,1,101,62,16,4
15,15,100,22,6,2,100,52,20,9
