,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,4,1,0,173,8,3,0
4,4,163,8,1,0,163,18,3,0
5,5,153,13,1,0,153,28,3,0
6,6,149,15,1,0,149,32,3,0
7,7,144,13,4,0,144,26,14,0
8,8,135,16,2,2,135,32,6,11
9,9,134,16,2,2,134,33,6,11
10,10,130,15,4,2,130,31,12,11
11,11,126,15,4,3,126,31,12,15
12,12,114,19,5,3,114,39,16,15
13,13,111,18,5,4,111,37,16,20
14,14,104,21,5,4,104,43,16,21
15,15,100,19,7,4,100,39,22,23
