,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,151,15,1,0,151,30,3,0
6,6,148,15,2,0,148,30,6,0
7,7,141,18,1,1,141,36,3,4
8,8,132,20,1,2,132,40,3,9
9,9,131,19,2,2,131,38,6,9
10,10,126,21,1,3,126,42,3,13
11,11,121,23,1,3,121,47,3,13
12,12,111,24,3,3,111,49,11,13
13,13,110,21,4,3,110,43,14,17
14,14,104,22,4,4,104,45,14,21
15,15,99,23,4,4,99,47,14,24
