,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,151,12,3,0,151,24,9,0
5,5,142,12,3,2,142,25,9,8
6,6,136,15,3,2,136,31,9,8
7,7,128,18,4,1,128,37,15,4
8,8,120,19,6,0,120,43,21,0
9,9,120,19,6,0,120,43,21,0
10,10,117,20,6,0,117,46,21,0
11,11,109,21,8,0,109,48,27,0
12,12,96,23,8,2,96,52,27,9
13,13,92,23,8,3,92,52,27,13
14,14,91,20,10,3,91,42,38,13
15,15,84,18,10,5,84,38,38,24
