,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,151,15,1,0,151,30,3,0
6,6,148,15,2,0,148,30,6,0
7,7,142,16,2,1,142,32,6,4
8,8,130,22,2,1,130,44,6,4
9,9,128,23,2,1,128,46,6,4
10,10,125,21,4,1,125,43,12,4
11,11,120,22,5,1,120,45,15,4
12,12,108,27,5,1,108,57,15,4
13,13,105,26,6,1,105,55,20,4
14,14,99,26,8,1,99,55,26,4
15,15,95,23,11,1,95,48,37,4
