,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,152,13,2,0,152,26,6,0
6,6,148,15,2,0,148,30,6,0
7,7,142,17,1,1,142,35,3,4
8,8,133,18,3,1,133,38,9,4
9,9,131,19,3,1,131,40,9,4
10,10,126,21,3,1,126,44,9,5
11,11,122,20,5,1,122,42,15,5
12,12,113,21,5,2,113,44,17,10
13,13,107,24,5,2,107,50,17,10
14,14,103,23,4,4,103,48,12,21
15,15,100,21,5,4,100,44,15,25
