,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,162,8,2,0,162,16,6,0
5,5,153,11,3,0,153,22,9,0
6,6,149,13,3,0,149,26,9,0
7,7,143,14,4,0,143,29,12,0
8,8,131,20,4,0,131,41,12,0
9,9,129,21,4,0,129,43,12,0
10,10,123,24,4,0,123,49,12,0
11,11,119,25,4,0,119,51,14,0
12,12,109,25,7,0,109,51,24,0
13,13,105,26,6,1,105,54,21,4
14,14,99,27,7,1,99,57,24,4
15,15,94,27,8,1,94,57,28,5
