,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,162,10,0,0,162,22,0,0
5,5,154,12,1,0,154,27,3,0
6,6,150,14,1,0,150,31,3,0
7,7,143,17,1,0,143,38,3,0
8,8,131,23,1,0,131,50,3,0
9,9,129,24,1,0,129,52,3,0
10,10,125,24,2,0,125,52,6,0
11,11,120,25,3,0,120,54,9,0
12,12,110,26,5,0,110,57,16,0
13,13,107,24,7,0,107,53,23,0
14,14,102,24,7,1,102,53,22,6
15,15,100,21,7,2,100,44,27,12
