,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,152,12,1,1,152,25,3,4
5,5,140,17,0,2,140,36,0,8
6,6,135,19,0,2,135,41,0,8
7,7,126,23,0,2,126,49,0,9
8,8,122,18,2,3,122,40,7,15
9,9,122,18,2,3,122,40,7,15
10,10,118,20,2,3,118,44,7,15
11,11,112,21,2,3,112,46,7,15
12,12,98,25,3,3,98,54,11,17
13,13,95,23,5,3,95,50,18,17
14,14,94,22,5,3,94,48,17,21
15,15,88,20,7,2,88,51,24,17
