,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,10,1,0,161,20,3,0
5,5,151,15,1,0,151,30,3,0
6,6,148,15,2,0,148,30,6,0
7,7,141,17,3,0,141,34,9,0
8,8,131,19,5,0,131,38,15,0
9,9,129,20,5,0,129,40,15,0
10,10,124,22,5,0,124,45,15,0
11,11,119,24,5,0,119,50,15,0
12,12,109,26,6,0,109,56,19,0
13,13,105,27,5,1,105,58,16,5
14,14,98,29,6,1,98,62,19,5
15,15,93,29,7,1,93,63,23,5
