,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,150,15,1,0,150,30,4,0
5,5,138,19,2,0,138,39,7,0
6,6,133,20,3,0,133,41,10,0
7,7,125,21,5,0,125,43,16,0
8,8,117,20,7,1,117,41,22,4
9,9,117,20,7,1,117,41,22,4
10,10,114,22,6,1,114,48,18,4
11,11,109,20,7,2,109,43,22,10
12,12,97,22,6,4,97,49,19,19
13,13,94,20,7,5,94,42,25,23
14,14,92,19,7,6,92,40,22,30
15,15,85,20,7,5,85,48,24,27
