,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,8,0,0,167,17,0,0
4,4,149,17,0,0,149,35,0,0
5,5,136,23,0,0,136,48,0,0
6,6,131,24,1,0,131,50,3,0
7,7,125,22,4,0,125,46,13,0
8,8,115,25,5,0,115,52,17,0
9,9,115,25,5,0,115,52,17,0
10,10,112,26,5,0,112,55,17,0
11,11,106,27,3,2,106,58,10,10
12,12,96,25,6,2,96,51,25,12
13,13,92,25,6,3,92,51,24,17
14,14,89,25,7,3,89,51,27,17
15,15,83,24,8,2,83,49,41,11
