,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,177,2,1,0,177,4,3,0
3,3,168,6,1,0,168,13,3,0
4,4,151,14,1,0,151,30,3,0
5,5,139,17,3,0,139,36,9,0
6,6,135,17,4,0,135,37,12,0
7,7,127,20,3,1,127,44,9,4
8,8,117,22,5,1,117,48,15,4
9,9,117,22,5,1,117,48,15,4
10,10,114,23,4,2,114,50,12,8
11,11,106,25,5,2,106,55,15,8
12,12,94,24,8,3,94,51,27,12
13,13,91,23,9,3,91,50,31,12
14,14,88,24,8,4,88,52,27,17
15,15,79,25,7,6,79,55,22,28
