,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,167,7,1,0,167,14,3,0
4,4,151,13,1,1,151,26,3,4
5,5,141,14,2,2,141,28,6,9
6,6,136,16,2,2,136,32,6,10
7,7,127,20,2,2,127,41,6,10
8,8,118,22,3,2,118,47,9,10
9,9,118,22,3,2,118,47,9,10
10,10,115,23,3,2,115,50,9,10
11,11,106,26,4,2,106,56,12,10
12,12,94,26,7,2,94,56,23,11
13,13,91,25,8,2,91,53,29,11
14,14,89,24,9,2,89,52,32,11
15,15,83,20,12,2,83,42,44,15
