,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,206,0,0,0,206,0,0,0
1,1,206,0,0,0,206,0,0,0
2,2,206,0,0,0,206,0,0,0
3,3,206,0,0,0,206,0,0,0
4,4,204,1,0,0,204,2,0,0
5,5,204,1,0,0,204,2,0,0
6,6,200,3,0,0,200,6,0,0
7,7,196,5,0,0,196,10,0,0
8,8,179,13,0,0,179,27,0,0
9,9,153,17,2,2,153,35,7,11
10,10,149,19,2,2,149,39,7,11
11,11,149,19,2,2,149,39,7,11
12,12,127,28,3,2,127,56,12,11
13,13,116,31,4,2,116,64,15,11
14,14,112,33,4,2,112,68,15,11
15,15,106,30,5,4,106,62,17,21
