,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,206,0,0,0,206,0,0,0
1,1,206,0,0,0,206,0,0,0
2,2,206,0,0,0,206,0,0,0
3,3,206,0,0,0,206,0,0,0
4,4,204,1,0,0,204,2,0,0
5,5,204,1,0,0,204,2,0,0
6,6,200,3,0,0,200,6,0,0
7,7,196,5,0,0,196,10,0,0
8,8,180,11,1,0,180,23,3,0
9,9,152,17,2,3,152,34,6,14
10,10,149,17,3,3,149,34,9,14
11,11,149,17,3,3,149,34,9,14
12,12,130,22,5,3,130,45,16,15
13,13,117,28,4,4,117,57,13,19
14,14,115,28,4,4,115,57,13,19
15,15,108,28,5,4,108,60,17,19
