,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,206,0,0,0,206,0,0,0
1,1,206,0,0,0,206,0,0,0
2,2,206,0,0,0,206,0,0,0
3,3,206,0,0,0,206,0,0,0
4,4,204,1,0,0,204,2,0,0
5,5,204,1,0,0,204,2,0,0
6,6,200,3,0,0,200,6,0,0
7,7,196,5,0,0,196,10,0,0
8,8,179,12,1,0,179,24,3,0
9,9,149,22,1,2,149,44,3,10
10,10,146,23,1,2,146,47,3,10
11,11,146,23,1,2,146,47,3,10
12,12,129,25,4,2,129,51,15,11
13,13,119,26,5,3,119,53,18,16
14,14,115,28,5,3,115,57,18,16
15,15,107,29,6,3,107,61,22,16
