,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,206,0,0,0,206,0,0,0
1,1,206,0,0,0,206,0,0,0
2,2,206,0,0,0,206,0,0,0
3,3,206,0,0,0,206,0,0,0
4,4,204,1,0,0,204,2,0,0
5,5,204,1,0,0,204,2,0,0
6,6,200,3,0,0,200,6,0,0
7,7,196,5,0,0,196,10,0,0
8,8,179,12,1,0,179,24,3,0
9,9,152,15,6,1,152,31,19,4
10,10,148,17,6,1,148,35,19,4
11,11,148,17,6,1,148,35,19,4
12,12,130,22,4,4,130,46,13,17
13,13,120,24,5,4,120,51,17,18
14,14,118,23,6,4,118,48,22,18
15,15,110,23,7,5,110,48,25,23
