,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,216,0,0,0,216,0,0,0
1,1,214,1,0,0,214,2,0,0
2,2,214,1,0,0,214,2,0,0
3,3,212,2,0,0,212,4,0,0
4,4,212,2,0,0,212,4,0,0
5,5,212,2,0,0,212,4,0,0
6,6,208,4,0,0,208,8,0,0
7,7,205,4,1,0,205,8,3,0
8,8,201,6,1,0,201,12,3,0
9,9,187,10,3,0,187,20,9,0
10,10,186,9,4,0,186,18,12,0
11,11,176,14,4,0,176,28,12,0
12,12,172,13,6,0,172,26,18,0
13,13,172,13,6,0,172,26,18,0
14,14,167,16,5,0,167,34,15,0
15,15,155,22,5,0,155,46,15,0
